,Song_title,Artist,song_id
0,Rockin' Around The Christmas Tree,Brenda Lee,2EjXfH91m7f8HiJN1yQg97
1,All I Want For Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn
2,Jingle Bell Rock,Bobby Helms,7vQbuQcyTflfCIOu3Uzzya
3,Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78
4,A Holly Jolly Christmas,Burl Ives,77khP2fIVhSW23NwxrRluh
5,It's The Most Wonderful Time Of The Year,Andy Williams,3gBhiIj76UJQ7jlrUR4qjc
6,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,2uFaJJtFpPDc5Pa95XzTvg
7,Feliz Navidad,Jose Feliciano,0oPdaY4dXtc3ZsaG17V972
8,Lovin On Me,Jack Harlow,4xhsWYTOGcal8zt0J161CU
9,Sleigh Ride,The Ronettes,5ASM6Qjiav2xPe7gRkQMsQ
10,Santa Tell Me,Ariana Grande,0lizgQ7Qw35od7CYaoMBZb
11,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",4PS1e8f2LvuTFgUs1Cn3ON
12,Underneath The Tree,Kelly Clarkson,3YZE5qDV7u1ZD1gZc47ZeR
13,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,5mM1jHHXhKc0ZYi0R8EOLn
14,Christmas (Baby Please Come Home),Darlene Love,46pF1zFimM582ss1PrMy68
16,Deck The Halls,Nat King Cole,1TH5fhztFZmUGWaCXmZ6ie
17,Blue Christmas,Elvis Presley,3QiAAp20rPC3dcAtKtMaqQ
18,Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr
19,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,1foCxQtxBweJtZmdxhEHVO
20,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,25leEEaz1gIpp7o21Fqyjo
21,Run Rudolph Run,Chuck Berry,2pnPe4pJtq7689i5ydzvJJ
22,It's Beginning To Look A Lot Like Christmas,Michael Buble,3ZfRpDV74gUbBCmW8yb6ml
23,Greedy,Tate McRae,3rUGC1vUpkDG9CZFHMur1t
