,artist_name,track_name,song_id
0,glenn miller,the little man who wasn't there,3ZDS2we70XCOEndkITg8Ft
1,misfits,american psycho,77v5yDwMLiJlIsHNJQxXrY
2,elliott smith,somebody that i used to know,4xfAVJL8R7mVYbDk8a9xOY
3,june carter cash,juke box blues,5x46pk7OZUv1WWiP6iEdMy
4,"emerson, lake & palmer","karn evil 9 1st impression, pt. 1",6WfjV745TiUcD8KdUKp241
5,queens of the stone age,another love song,5HjEC3NlSzKsVKmqnhXrum
6,adema,immortal,4pawqkNZXTbqrYAd0I5Wtb
7,the supremes,stop! in the name of love,52FlwUMMDnTK8TGkCag9Jd
8,the notting hillbillies,bewildered,3OhkFJSKPlrqjozVsBSami
9,sticky fingers,hyper,2VkhnzJ1D0ipwbFbggo3Ry
10,diana krall,walk on by,4jZRI1v2LLaDTshDW9qruu
11,mudvayne,dig,7vrLphPq4yjaX7jiDdd2Nc
12,the 1975,love it if we made it,6WmIyn2fx1PKQ0XDpYj4VR
13,little river band,listen to your heart,5n7JHKyKIJXMXXv10f1AYk
15,freddy fender,please don't tell me how the story ends,7noRPNdNTDJSHIvAl5xQL2
16,boz scaggs,love me tomorrow,67Fxvtgc3MXl2x4ryyFpw7
17,"earth, wind & fire",build your nest,4IMN8BxmU5Gbpz68Xw9lFw
18,nat king cole,o holy night,4c4LylLvTh91IhwQgSXPRc
19,santana,america (feat. p.o.d.),43uplr4bhcs8FJIU5KBzB1
20,ella fitzgerald,for you for me for evermore,0Y8og0cMFAwf12eW64WoYE
21,julian dash,blue and sentimental,1axzRYUUASTfN4OOtrjfQd
22,black moon,powaful impak!,63U9mJpffoQILdkb1VWDK8
23,the beautiful girls,when i had you with me,3gfwt1C4Jt7qhjpILxYUtp
24,gucci mane,rich game,2qAjQGlYOllN6tll1pgmLm
25,jonas brothers,before the storm,531muHgVZoRgYXK5Qb59Pz
26,hot tuna,99 year blues,7GQZYw55Juuq3tntjZJzZt
28,rosanne cash,tennessee flat top box,3zyj0RajXg2w2Bnn773mnW
29,jaymes young,feel something,0vMI3AJPQMjytAu8XMWr65
30,ween,cold blows the wind,3TMxeYDa7yOKAxMUaCQWv4
31,michael bublé,hold on,0Xwfq9T1CruynQcHKY1hs4
32,louis armstrong,sweet savannah sue,6JkgdaqqIcisr9QNzseLCl
33,alejandro escovedo,i was drunk,561t8Mil2myu0i8N2Qwij4
34,muse,follow me,6r9tjMWLv8fNdZKKTnqCEr
35,ron gallo,kill the medicine man,5FZtl28q6FXkuDeAWxHzjx
36,david lee murphy,i could believe anything,7wCaeyWeyBzYbO5bxinQlM
37,hank locklin,i don't hurt anymore,6avRZyfcRndnnbyPtdZQjq
38,half•alive,runaway,0Dit4xsY3yFY73b19VxsYE
40,clinton fearon,version,7l7qkt9cvhBN9LtZzF8pdT
41,mgmt,siberian breaks,2wNK1PjIS9NbBIchakaL7k
43,bonnie raitt,i feel the same,0R5BQ3uQkPKITB7rDgNUhh
44,billy idol,dead on arrival,7moS0kYQ3AEQF79F1TW2br
45,devin townsend,spirits will collide,3Woz4yXgXOSTs6Yc0Oh2Es
46,the shirelles,putty in your hands,6VNZ2wD3ylpNKHZcz5RluU
47,esther phillips,just say goodbye,5HiI5koKreGVsXAB5F0uuw
48,the who,i'm one,4jHlDYHJOjDf8hSVJC6hkW
49,bullet for my valentine,waking the demon,1ZEoYuekZQo62DLFtPVdqT
50,hasil adkins,no more hot dogs,5ZeMGAJVrndrE0pVLo593J
51,langhorne slim,changes,0gKiONJeEtwb3hps4sUgyn
53,regina carter,pavane,1IdTBf0QfIvl4giLRuNOk0
54,haystak,on trial,3hfBEQdxCDfrCOpEqo5Dpt
55,david cassidy,i woke up in love this morning,4NfNr2aOxfZkkDHue5gjKf
56,joe cocker,isolation,1JlZVLefhkfycX8WfJdlSR
58,puddle of mudd,away from me,0UGsSjbp8vhm8QfNOIdmMy
59,dirty heads,disguise,1NCWCb7cJN99U49oo1Fibg
60,ac/dc,soul stripper,0HQE2SbrXTX849UcgfXLad
61,bad religion,modern man,4OPFX9TRHlEz1M5JGCvoiL
62,brad paisley,me and jesus (extra special bonus track),6a0zu7tOqPUHQfoP7YJ9nS
63,bob marley & the wailers,high tide or low tide,2P7dqEsGAvdVBCWeycm0vI
64,roger alan wade,butt ugly slut,5rtGkBfghA7kPeg8o1PKw3
65,dusty springfield,no easy way down,6CAkmqFlO5S3o0QDUuzcYr
66,nina simone,black is the color of my true love's hair,33WjZmABjWk4zrerZiFLJ7
67,blur,beetlebum,4OHVCeQYPncEwZOtNAJZZx
68,alpha & omega,honest opinion,4M0u1UX3jKB7MNoTU6nZwg
